,rgi_id,t_star,mu_star,prcp_fac,bias,err_perc
0,RGI50-11.A51C08,,51.5,1.2500000000000002,0.0006320509144307968,-0.1351137893976272
0,RGI50-11.A51D19n,,22.0,0.2500000000000001,0.006801959959802663,-0.819250975047597
0,RGI50-11.A51D20-0,,60.0,0.8500000000000002,0.004321077982789139,-0.7650710763737183
0,RGI50-11.A51D20-1,,39.25,0.7500000000000002,6.918899042958213e-05,-0.0968108935171985
0,RGI50-11.A51D20-2,,8.25,0.15000000000000002,0.0008570803433522676,-0.3407348061308789
0,RGI50-11.A51D20-3,,33.0,0.2500000000000001,6.098069110212291e-07,-0.009088702807903895
0,RGI50-11.A51D28,,64.25,1.7500000000000004,7.056432686638546e-05,-0.09216872446370752
0,RGI50-11.A51D30-0,,40.5,1.0500000000000005,0.005726347005709277,-4.253661073235657
0,RGI50-11.A51D30-1,,12.0,0.35000000000000003,0.00011177744182884084,-0.5942937116484301
0,RGI50-11.A51D31n,,9.75,0.35000000000000003,0.006691817582157028,-0.9904774231395982
0,RGI50-11.A51E03-0,,62.75,1.0500000000000005,0.0014477420724385262,-0.3414935014991033
0,RGI50-11.A51E03-1,,53.0,0.9500000000000002,3.889276537776608e-05,-0.05597205571214869
0,RGI50-11.A51E07-0,,77.5,0.9000000000000001,3.4559504514446807e-05,-0.05707508000608241
0,RGI50-11.A51E07-1,,45.25,1.2500000000000002,0.0001644823610898873,-0.12451522022949195
0,RGI50-11.A51E09-0,,25.0,0.8500000000000002,0.0006524574412051713,-1.1110590034425436
0,RGI50-11.A51E13,,59.25,0.5500000000000002,0.03210954322034447,-1.6194429211336787
0,RGI50-11.A51E38,,34.25,0.35000000000000003,0.00042192968195857135,-0.058849779390674574
0,RGI50-11.A51E39-0,,76.75,1.0500000000000005,0.019069996800813917,-0.8666634817640415
0,RGI50-11.A51E39-1,,32.25,0.4500000000000001,0.008907085991292283,-0.5923017417285015
0,RGI50-11.A51E39-2,,79.5,0.7500000000000002,0.005939750426028311,-0.4836812874735658
0,RGI50-11.A51E43,,56.5,2.2500000000000004,0.023878299157450697,-0.9289212314856848
0,RGI50-11.A51E45n,,3.25,0.15000000000000002,0.0002645015003662104,-0.35126354414996785
0,RGI50-11.A51E46n,,41.75,0.35000000000000003,0.0010971185516166673,-0.4431734004550205
0,RGI50-11.A51E47n,,49.75,0.5500000000000002,0.00038563864878974014,-0.09505631639955324
0,RGI50-11.A51E48n-0,,21.75,0.35000000000000003,0.0001344654363650448,1.0807011430459057
0,RGI50-11.A51E48n-1,,5.0,0.15000000000000002,0.0001501281795021183,1.1419087141412532
0,RGI50-11.A51E48n-2,,79.75,1.0500000000000005,0.0008987551343498703,2.7939650568224974
0,RGI50-11.A51E49n,,4.0,0.15000000000000002,0.09200319352673827,-1.6284778379110354
0,RGI50-11.A51E58n,,49.25,1.5500000000000005,3.713543376858779e-05,-0.0622969223957151
0,RGI50-11.A51F02,,47.0,2.0500000000000003,0.0008417938805195231,-0.17239265814920365
0,RGI50-11.A51F27,,16.75,0.2500000000000001,0.00021468971738337601,-0.09143967754027353
0,RGI50-11.A51F28,,53.75,0.6500000000000001,0.004122884057562994,-0.2734654522607546
0,RGI50-11.A51F32-0,,8.5,0.2500000000000001,0.2373404043196793,-2.737404888521904
0,RGI50-11.A51F32-1,,17.0,0.35000000000000003,0.00220746409487519,-0.26399762736761834
